"","parameter","group","coef","level","inv_metric","mean","step_size","Model"
"62","zs_bias_1_1[2]",NA,NA,NA,0.99122175,NA,0.026863425,"gam_ddm4_muller"
"63","zs_bias_1_1[3]",NA,NA,NA,0.69122075,NA,0.026863425,"gam_ddm4_muller"
"64","zs_bias_1_1[4]",NA,NA,NA,0.96353175,NA,0.026863425,"gam_ddm4_muller"
"65","zs_bias_1_1[5]",NA,NA,NA,0.94899375,NA,0.026863425,"gam_ddm4_muller"
"66","zs_bias_1_1[6]",NA,NA,NA,0.625621,NA,0.026863425,"gam_ddm4_muller"
"67","zs_bias_1_1[7]",NA,NA,NA,0.7289265,NA,0.026863425,"gam_ddm4_muller"
"68","zs_bias_1_1[8]",NA,NA,NA,0.54190675,NA,0.026863425,"gam_ddm4_muller"
"69","zs_bias_1_1[9]",NA,NA,NA,0.34807225,NA,0.026863425,"gam_ddm4_muller"
"70","zs_bias_1_2[1]",NA,NA,NA,0.5396785,NA,0.026863425,"gam_ddm4_muller"
"71","zs_bias_1_2[2]",NA,NA,NA,0.38339925,NA,0.026863425,"gam_ddm4_muller"
"72","zs_bias_1_2[3]",NA,NA,NA,0.175437,NA,0.026863425,"gam_ddm4_muller"
"73","zs_bias_1_2[4]",NA,NA,NA,0.59361,NA,0.026863425,"gam_ddm4_muller"
"74","zs_bias_1_2[5]",NA,NA,NA,0.43853125,NA,0.026863425,"gam_ddm4_muller"
"75","zs_bias_1_2[6]",NA,NA,NA,0.119496525,NA,0.026863425,"gam_ddm4_muller"
"76","zs_bias_1_3[1]",NA,NA,NA,0.85314175,NA,0.026863425,"gam_ddm4_muller"
"77","zs_bias_1_3[2]",NA,NA,NA,0.87688,NA,0.026863425,"gam_ddm4_muller"
"78","zs_bias_1_3[3]",NA,NA,NA,0.7979865,NA,0.026863425,"gam_ddm4_muller"
"79","zs_bias_1_3[4]",NA,NA,NA,0.76305975,NA,0.026863425,"gam_ddm4_muller"
"80","zs_bias_1_3[5]",NA,NA,NA,0.57040775,NA,0.026863425,"gam_ddm4_muller"
"81","zs_bias_1_3[6]",NA,NA,NA,0.482668,NA,0.026863425,"gam_ddm4_muller"
"82","sds_bias_1[1]",NA,NA,NA,0.806225,NA,0.026863425,"gam_ddm4_muller"
"83","sds_bias_1[2]",NA,NA,NA,0.1790035,NA,0.026863425,"gam_ddm4_muller"
"84","sds_bias_1[3]",NA,NA,NA,1.09491075,NA,0.026863425,"gam_ddm4_muller"
"85","Intercept_ndt",NA,NA,NA,0.0016164175,-0.91203634285,0.026863425,"gam_ddm4_muller"
"86","bs_ndt[1]",NA,NA,NA,5.726565e-05,NA,0.026863425,"gam_ddm4_muller"
"87","bs_ndt[2]",NA,NA,NA,7.96632e-05,NA,0.026863425,"gam_ddm4_muller"
"88","bs_ndt[3]",NA,NA,NA,4.85384e-05,NA,0.026863425,"gam_ddm4_muller"
"89","zs_ndt_1_1[1]",NA,NA,NA,0.69715775,NA,0.026863425,"gam_ddm4_muller"
"90","zs_ndt_1_1[2]",NA,NA,NA,0.87974075,NA,0.026863425,"gam_ddm4_muller"
"91","zs_ndt_1_1[3]",NA,NA,NA,0.32775675,NA,0.026863425,"gam_ddm4_muller"
"92","zs_ndt_1_1[4]",NA,NA,NA,0.65602975,NA,0.026863425,"gam_ddm4_muller"
"93","zs_ndt_1_1[5]",NA,NA,NA,0.4361225,NA,0.026863425,"gam_ddm4_muller"
"94","zs_ndt_1_1[6]",NA,NA,NA,0.24099425,NA,0.026863425,"gam_ddm4_muller"
"95","zs_ndt_1_1[7]",NA,NA,NA,0.31487075,NA,0.026863425,"gam_ddm4_muller"
"96","zs_ndt_1_1[8]",NA,NA,NA,0.19985625,NA,0.026863425,"gam_ddm4_muller"
"97","zs_ndt_1_1[9]",NA,NA,NA,0.097723425,NA,0.026863425,"gam_ddm4_muller"
"98","zs_ndt_1_2[1]",NA,NA,NA,0.4373805,NA,0.026863425,"gam_ddm4_muller"
"99","zs_ndt_1_2[2]",NA,NA,NA,0.269817,NA,0.026863425,"gam_ddm4_muller"
"100","zs_ndt_1_2[3]",NA,NA,NA,0.1202689,NA,0.026863425,"gam_ddm4_muller"
"101","zs_ndt_1_2[4]",NA,NA,NA,0.489718,NA,0.026863425,"gam_ddm4_muller"
"102","zs_ndt_1_2[5]",NA,NA,NA,0.267906,NA,0.026863425,"gam_ddm4_muller"
"103","zs_ndt_1_2[6]",NA,NA,NA,0.1823125,NA,0.026863425,"gam_ddm4_muller"
"104","zs_ndt_1_3[1]",NA,NA,NA,0.49714275,NA,0.026863425,"gam_ddm4_muller"
"105","zs_ndt_1_3[2]",NA,NA,NA,0.48714775,NA,0.026863425,"gam_ddm4_muller"
"106","zs_ndt_1_3[3]",NA,NA,NA,0.4388675,NA,0.026863425,"gam_ddm4_muller"
"107","zs_ndt_1_3[4]",NA,NA,NA,0.28433025,NA,0.026863425,"gam_ddm4_muller"
"108","zs_ndt_1_3[5]",NA,NA,NA,0.10873565,NA,0.026863425,"gam_ddm4_muller"
"109","zs_ndt_1_3[6]",NA,NA,NA,0.085054075,NA,0.026863425,"gam_ddm4_muller"
"110","sds_ndt_1[1]",NA,NA,NA,0.64877725,NA,0.026863425,"gam_ddm4_muller"
"111","sds_ndt_1[2]",NA,NA,NA,0.204805,NA,0.026863425,"gam_ddm4_muller"
"112","sds_ndt_1[3]",NA,NA,NA,0.2100795,NA,0.026863425,"gam_ddm4_muller"
"113","Intercept_poutlier",NA,NA,NA,0.18512375,-5.950657589,0.026863425,"gam_ddm4_muller"
"114","sd_1[1]","Participant","Intercept",NA,0.111310875,0.23241555838,0.026863425,"gam_ddm4_muller"
"115","z_1[1,1]","Participant","Intercept","IllusionGameEEG_sub-1",0.443953775,0,0.026863425,"gam_ddm4_muller"
"116","z_1[1,2]","Participant","Intercept","IllusionGameEEG_sub-10",0.443953775,0,0.026863425,"gam_ddm4_muller"
"117","z_1[1,3]","Participant","Intercept","IllusionGameEEG_sub-11",0.443953775,0,0.026863425,"gam_ddm4_muller"
"118","z_1[1,4]","Participant","Intercept","IllusionGameEEG_sub-110",0.443953775,0,0.026863425,"gam_ddm4_muller"
"119","z_1[1,5]","Participant","Intercept","IllusionGameEEG_sub-111",0.443953775,0,0.026863425,"gam_ddm4_muller"
"120","z_1[1,6]","Participant","Intercept","IllusionGameEEG_sub-113",0.443953775,0,0.026863425,"gam_ddm4_muller"
"121","z_1[1,7]","Participant","Intercept","IllusionGameEEG_sub-114",0.443953775,0,0.026863425,"gam_ddm4_muller"
"122","z_1[1,8]","Participant","Intercept","IllusionGameEEG_sub-115",0.443953775,0,0.026863425,"gam_ddm4_muller"
"123","z_1[1,9]","Participant","Intercept","IllusionGameEEG_sub-116",0.443953775,0,0.026863425,"gam_ddm4_muller"
"124","z_1[1,10]","Participant","Intercept","IllusionGameEEG_sub-119",0.443953775,0,0.026863425,"gam_ddm4_muller"
"125","z_1[1,11]","Participant","Intercept","IllusionGameEEG_sub-12",0.443953775,0,0.026863425,"gam_ddm4_muller"
"126","z_1[1,12]","Participant","Intercept","IllusionGameEEG_sub-120",0.443953775,0,0.026863425,"gam_ddm4_muller"
"127","z_1[1,13]","Participant","Intercept","IllusionGameEEG_sub-121",0.443953775,0,0.026863425,"gam_ddm4_muller"
"128","z_1[1,14]","Participant","Intercept","IllusionGameEEG_sub-122",0.443953775,0,0.026863425,"gam_ddm4_muller"
"129","z_1[1,15]","Participant","Intercept","IllusionGameEEG_sub-123",0.443953775,0,0.026863425,"gam_ddm4_muller"
"130","z_1[1,16]","Participant","Intercept","IllusionGameEEG_sub-126",0.443953775,0,0.026863425,"gam_ddm4_muller"
"131","z_1[1,17]","Participant","Intercept","IllusionGameEEG_sub-127",0.443953775,0,0.026863425,"gam_ddm4_muller"
"132","z_1[1,18]","Participant","Intercept","IllusionGameEEG_sub-128",0.443953775,0,0.026863425,"gam_ddm4_muller"
"133","z_1[1,19]","Participant","Intercept","IllusionGameEEG_sub-129",0.443953775,0,0.026863425,"gam_ddm4_muller"
"134","z_1[1,20]","Participant","Intercept","IllusionGameEEG_sub-13",0.443953775,0,0.026863425,"gam_ddm4_muller"
"135","z_1[1,21]","Participant","Intercept","IllusionGameEEG_sub-130",0.443953775,0,0.026863425,"gam_ddm4_muller"
"136","z_1[1,22]","Participant","Intercept","IllusionGameEEG_sub-131",0.443953775,0,0.026863425,"gam_ddm4_muller"
"137","z_1[1,23]","Participant","Intercept","IllusionGameEEG_sub-132",0.443953775,0,0.026863425,"gam_ddm4_muller"
"138","z_1[1,24]","Participant","Intercept","IllusionGameEEG_sub-134",0.443953775,0,0.026863425,"gam_ddm4_muller"
"139","z_1[1,25]","Participant","Intercept","IllusionGameEEG_sub-135",0.443953775,0,0.026863425,"gam_ddm4_muller"
"140","z_1[1,26]","Participant","Intercept","IllusionGameEEG_sub-136",0.443953775,0,0.026863425,"gam_ddm4_muller"
"141","z_1[1,27]","Participant","Intercept","IllusionGameEEG_sub-137",0.443953775,0,0.026863425,"gam_ddm4_muller"
"142","z_1[1,28]","Participant","Intercept","IllusionGameEEG_sub-138",0.443953775,0,0.026863425,"gam_ddm4_muller"
"143","z_1[1,29]","Participant","Intercept","IllusionGameEEG_sub-14",0.443953775,0,0.026863425,"gam_ddm4_muller"
"144","z_1[1,30]","Participant","Intercept","IllusionGameEEG_sub-140",0.443953775,0,0.026863425,"gam_ddm4_muller"
"145","z_1[1,31]","Participant","Intercept","IllusionGameEEG_sub-141",0.443953775,0,0.026863425,"gam_ddm4_muller"
"146","z_1[1,32]","Participant","Intercept","IllusionGameEEG_sub-143",0.443953775,0,0.026863425,"gam_ddm4_muller"
"147","z_1[1,33]","Participant","Intercept","IllusionGameEEG_sub-144",0.443953775,0,0.026863425,"gam_ddm4_muller"
"148","z_1[1,34]","Participant","Intercept","IllusionGameEEG_sub-147",0.443953775,0,0.026863425,"gam_ddm4_muller"
"149","z_1[1,35]","Participant","Intercept","IllusionGameEEG_sub-148",0.443953775,0,0.026863425,"gam_ddm4_muller"
"150","z_1[1,36]","Participant","Intercept","IllusionGameEEG_sub-149",0.443953775,0,0.026863425,"gam_ddm4_muller"
